sentence	paraphrase	reference
District Council 37 officials said they filed a notice of claim, warning the Department of Education that it would be sued; it will hold a news conference on Wednesday to announce the lawsuit's filing formally, in State Supreme Court in Manhattan.	District Council 37 officials said they filed a notice of claim, warning the Department of Education that it would be sued; a news conference will be held by it on Wednesday to announce the lawsuit's filing formally, in State Supreme Court in Manhattan.	Beamte des Stadtrats 37 sagten, sie hätten und warnten das Bildungsministerium vor einer Klage. Am Mittwoch wird es eine Pressekonferenz geben, auf der das Einreichen der Klage vor dem Supreme Court in Manhattan formal angekündigt wird.
"The memo used the word ""excess"" to describe the action, even though ""excess"" more commonly describes the act of moving a teacher from a school's payroll into a pool of available workers whose salaries are paid by the central office."	"The word "" excess "" was used by the memo to describe the action, even though ""excess"" more commonly describes the act of moving a teacher from a school's payroll into a pool of available workers whose salaries are paid by the central office."	"Das Memo verwendete das englische Wort ""excess"", um die Handlung zu beschreiben, auch wenn ""excess"" (deutsch: überstellen) in den USA üblicherweise den Wechsel eines Lehrers von der Gehaltsliste einer Schule in einen Pool verfügbarer Arbeiter beschreibt, die von der Zentralstelle bezahlt werden."
"""A lot of people died,"" Giffords told Sawyer."	"""A lot of people died,"" Sawyer was told by Giffords."	"""Viele Menschen sind gestorben"", erzählte Giffords Sawyer."
"At one point in his wife's recovery, Kelly told Sawyer, she said, ""I've been beaten."""	"At one point in his wife's recovery, Sawyer was told by Kelly, she said, ""I've been beaten."""	"Im Laufe der Genesung seiner Ehefrau, so erzählte Kelly Sawyer, sagte sie: ""Ich wurde getroffen."""
Troops feel more pity than respect	More pity than respect is felt by troops	Truppen empfinden eher Mitleid als Respekt
Her strategy: rather than piling all the plaintiffs into this case - putting all her eggs in one basket, so to speak - she will file multiple cases, if need be, to keep the pressure on.	Her strategy: rather than piling all the plaintiffs into this case - putting all her eggs in one basket, so to speak - multiple cases will be filed by her, if need be, to keep the pressure on.	Ihre Strategie: Anstatt dass alle Kläger sozusagen ihre Eier in einen Korb legen, werden sie, falls notwendig, viele weitere Klagen einreichen, um den Druck aufrecht zu erhalten.
The plaintiffs in Burke's case describe their attacks as just the first of a series of traumas.	Their attacks are described by the plaintiffs in Burke 's case as just the first of a series of traumas.	Die Kläger in Burkes Fall beschreiben ihre Angriffe als nur die ersten einer Serie von Traumen.
"Judge Torkjel Nesheim interrupted Breivik during that monologue because he ""did not want to give Breivik the opportunity to use this hearing as a platform for him to express his views."""	"Breivik was interrupted by judge Torkjel Nesheim during that monologue because he ""did not want to give Breivik the opportunity to use this hearing as a platform for him to express his views."""	"Richter Torkjel Nesheim unterbrach Breivik während diesem Monolog, da er ""Breivik nicht die Möglichkeit geben wollte, diese Anhörung als eine Plattform zu nutzen, auf der er seine Ansichten zum Ausdruck bringen kann."""
Not long after their 20-minute phone conversation, Jobs landed a part-time summer job at Hewlett-Packard.	Not long after their 20-minute phone conversation, a part - time summer job was landed by Jobs at Hewlett-Packard.	Kurz nach ihrem 20-minütigen Telefonat erhielt Jobs für den Sommer einen Teilzeitjob bei Hewlett-Packard.
Later while at Apple, he recalls the struggles he faced in developing a computer mouse:	Later while at Apple, the struggles he faced in developing a computer mouse are recalled by him:	Später bei Apple erinnert er sich an die Probleme, die er bei der Entwicklung einer Computermaus hatte:
You learn a lot about the subtleties of it.	A lot is learnt by you about the subtleties of it.	Man lernt viel über seine Feinheiten.
Emirates airline orders 50 twin-aisle Boeing 777 jetliners with an option for 20 more.	50 twin - aisle Boeing 777 jetliners are ordered by emirates airline with an option for 20 more.	Fluggesellschaft Emirate bestellt 50 zweigängige Flugzeuge vom Typ Boeing 777 mit einer Option auf 20 weitere Flugzeuge.
The PRI ruled Mexico for seven decades until losing the presidency in 2000.	Mexico was ruled by the PRI for seven decades until losing the presidency in 2000.	Die PRI regierte sieben Jahrzehnte in Mexiko, bis sie im Jahre 2000 die Präsidentschaft verloren.
"""In effect, it invites aggression.."""	"""In effect, aggression is invited by it.."""	"""Sie lässt einen tatsächlich wütend werden."""
It would carry 700,000 barrels per day from the province of Alberta to refineries in Texas.	700,000 barrels per day are carried by it from the province of Alberta to refineries in Texas.	Sie würde 700.000 Barrel Öl pro Tag aus der Provinz Alberta zu den Raffinerien in Texas pumpen.
For business representatives, the first year of Mario Lopez Valdes government demonstrates a lack of capacity of the government.	For business representatives, a lack of capacity of the government is demonstrated by the first year of Mario Lopez Valdes government.	Für die Vertreter der Unternehmerschaft machte das erste Regierungsjahr Mario López Valdés Regierungsunfähigkeit offensichtlich.
"These issues, he said, ""require the operation of the entire system established under the principle of the state economic stewardship, comprises a group of powers which the Constitution leads to the state executive power."""	"The operation of the entire system established under the principle of the state economic stewardship is, he said, ""required by these issues, comprises a group of powers which the Constitution leads to the state executive power."""	"Diese Angelegenheiten, betonte sie, ""machten das Handeln des gesamten Systems erforderlich, gemäß dem Prinzip der wirtschaftlichen Leitung durch den Staat beinhalteten sie eine Gruppe von Merkmalen, die die Verfassung in die Hände der zentralstaatlichen Regierung lege."""
"They analyze the possibility of a ""vote by vote"" count in Michoacán"	"The possibility of a "" vote by vote "" count in Michoacán is analyzed by them"	Die Möglichkeit die Stimmzettel in Michoacán einzeln auszuzählen wird in Erwägung gezogen
The new administration led by the former European Commissioner Monti must approve a tough austerity package demanded by the European leaders in order to regain the confidence in Italy.	A tough austerity package demanded by the European leaders in order to regain the confidence in Italy is approved by the new administration led by the former European Commissioner Monti.	Die neue, von dem ehemaligen EU-Kommissar Monti geführte Regierung muss ein hartes Sparpaket verabschieden, das von den Europolitikern gefordert wurde, um das angeschlagene Vertrauen in Italien wiederzugewinnen.
You never repeat the repertoire.	The repertoire is not repeated by you.	Ihr wiederholt euer Repertoire niemals.
This incursion of Super Mario in three dimensions represents also the return of the character to a portable console, fact that has not occurred since 2005.	The return of the character to a portable console is represented also by this incursion of Super Mario in three dimensions, fact that has not occurred since 2005.	Dieser Ausflug Super Marios in die dreidimensionale Welt bedeutet auch die Rückkehr der Figur zu einer tragbaren Konsole, was seit 2005 nicht mehr der Fall gewesen ist.
The diverse political representation, in the election time, showed the unitary character of the work done by Trinijove.	The unitary character of the work done by Trinijove was, in the election time, shown by the diverse political representation.	Die Teilnahme politischer Vertreter unterschiedlicher Richtungen zu Wahlkampfzeiten belegte die Unparteilichkeit der von Trinijove geleisteten Arbeit.
Also yesterday, the members of the police evacuated a building in Nou Barris.	Also yesterday, a building in Nou Barris was evacuated by the members of the police.	Gestern wurde ein weiteres Gebäude in dem Stadtviertel Nou Barris von der katalonischen Polizei geräumt.
The municipal contest on the 16 doors reopened the debate on the role of Collserola in Barcelona	The debate on the role of Collserola in Barcelona was reopened by the municipal contest on the 16 doors	Die städtische Ausschreibung über die 16 Tore eröffnet die Debatte über die Bedeutung von Collserola in Barcelona aufs Neue.
